"","date","Address","pcode","County","cost","market","vat","des"
"2350","28/02/2018","101 Ash House, Silverbanks, The Coast","Dublin 13","Dublin","243,362.84","No","Yes","New Dwelling house /Apartment"
"2351","28/02/2018","104 Ash House, Silverbanks, The Coast","Dublin 13","Dublin","154,185.02","No","Yes","New Dwelling house /Apartment"
"2353","28/02/2018","11 CARRAROE AVE, THE DONAHIES, DUBLIN","Dublin 13","Dublin","330,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2354","28/02/2018","11 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","209,957.17","No","Yes","New Dwelling house /Apartment"
"2355","28/02/2018","11 LOWER ELMWOOD AVE, RANELAGH, DUBLIN 6","Dublin 6","Dublin","840,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2356","28/02/2018","112 WOODFIELD, SCHOLARSTOWN RD, RATHFARNHAM DUBLIN 16","Dublin 16","Dublin","615,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2358","28/02/2018","12 HADLEIGH COURT, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","692,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2359","28/02/2018","13 BRAMLEY VIEW, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","515,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2360","28/02/2018","13 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2361","28/02/2018","134 BOTANIC AVE, GLASNEVIN, DUBLIN 9","Dublin 9","Dublin","533,022.00","No","No","Second-Hand Dwelling house /Apartment"
"2362","28/02/2018","15 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","300,000.00","No","Yes","New Dwelling house /Apartment"
"2363","28/02/2018","16 SHANTALLA DR, BEAUMONT, DUBLIN 9","Dublin 9","Dublin","403,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2364","28/02/2018","17 Elder Heath Drive, Elder Heath, Kiltipper Road","Dublin 24","Dublin","275,000.00","No","Yes","New Dwelling house /Apartment"
"2367","28/02/2018","2 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","240,230.96","No","Yes","New Dwelling house /Apartment"
"2368","28/02/2018","2 Elder Heath Grove, Elder Heath, Kiltipper","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2370","28/02/2018","2 INVER RD, CABRA, DUBLIN 7","Dublin 7","Dublin","325,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2371","28/02/2018","2 PEMBROKE COTTAGES, DUNDRUM, DUBLIN 14","Dublin 14","Dublin","413,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2372","28/02/2018","2 ST BRIGIDS, SUNBURY COURT, DARTRY DUBLIN 6","Dublin 6","Dublin","365,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2373","28/02/2018","2 THORMANBY GROVE, HOWTH, DUBLIN","Dublin 13","Dublin","557,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2375","28/02/2018","21 SUNBURY PARK, DARTRY","Dublin 6","Dublin","1,250,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2377","28/02/2018","23 KINGSTON HEIGHTS, BALLINTEER, DUBLIN 16","Dublin 16","Dublin","565,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2378","28/02/2018","23 THE EDEN, PROSPECT HILL, FINGLAS RD DUBLIN 11","Dublin 11","Dublin","215,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2379","28/02/2018","25 Morehampton Lane, Donnybrook","Dublin 4","Dublin","2,048,458.15","No","Yes","New Dwelling house /Apartment"
"2380","28/02/2018","29 DUNLUCE RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","635,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2381","28/02/2018","3 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","209,957.17","No","Yes","New Dwelling house /Apartment"
"2382","28/02/2018","3 LAMBAY RD, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","274,283.14","Yes","No","Second-Hand Dwelling house /Apartment"
"2383","28/02/2018","30 CASTLE GROVE, CLONTARF, DUBLIN 3","Dublin 3","Dublin","750,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2385","28/02/2018","32 KINGSTON LODGE, CLONLIFFE RD, DUBLIN 3","Dublin 3","Dublin","225,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2386","28/02/2018","32 WAVERLEY AVE, FAIRVIEW, DUBLIN 3","Dublin 3","Dublin","596,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2387","28/02/2018","35 LEIN PARK, ARTANE, DUBLIN 5","Dublin 5","Dublin","256,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2388","28/02/2018","36 THE CRESCENT, BINN EADAIR VIEW, SUTTON DUBLIN 13","Dublin 13","Dublin","442,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2389","28/02/2018","37 TUANSGATE, BELGARD SQ NORTH, TALLAGHT","Dublin 24","Dublin","211,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2391","28/02/2018","4 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2392","28/02/2018","4 Elder Heath Grove, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2393","28/02/2018","4 GLENCARRIG, CHURCH RD, SUTTON DUBLIN 13","Dublin 13","Dublin","775,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2394","28/02/2018","40 HARCOURT GREEN, CHARLEMONT ST, DUBLIN 2","Dublin 2","Dublin","302,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2395","28/02/2018","5 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2396","28/02/2018","50 DOLLYMOUNT PARK, CLONTARF, DUBLIN 3","Dublin 3","Dublin","497,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2397","28/02/2018","55 GARVILLE AVE UPPER, RATHGAR, DUBLIN 6","Dublin 6","Dublin","945,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2398","28/02/2018","56 ORWELL PARK, RATHGAR, DUBLIN 6","Dublin 6","Dublin","2,515,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2400","28/02/2018","5A La Vista Avenue, Sutton","Dublin 13","Dublin","910,000.00","No","Yes","New Dwelling house /Apartment"
"2402","28/02/2018","6 EGLINTON PARK, DONNYBROOK, DUBLIN 4","Dublin 4","Dublin","1,700,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2403","28/02/2018","6 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2404","28/02/2018","6 Elder Heath Grove, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2405","28/02/2018","6 Pembroke Street Upper, Dublin 2","Dublin 2","Dublin","3,175,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2407","28/02/2018","66 WELLVIEW AVENUE, BLANCHARDSTOWN, DUBLIN15","Dublin 15","Dublin","60,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"2408","28/02/2018","68 CASTLE COURT, KILGOBBIN WOOD, SANDYFORD DUBLIN 18","Dublin 18","Dublin","315,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2409","28/02/2018","7 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2413","28/02/2018","75 STONEPARK ABBEY, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","630,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2414","28/02/2018","8 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2415","28/02/2018","8 Elder Heath Grove, Elder Heath, Kiltipper Road","Dublin 24","Dublin","241,791.23","No","Yes","New Dwelling house /Apartment"
"2416","28/02/2018","86 ST LAWRENCE RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","1,500,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2417","28/02/2018","9 Elder Heath Close, Elder Heath, Kiltipper Road","Dublin 24","Dublin","209,957.17","No","Yes","New Dwelling house /Apartment"
"2419","28/02/2018","92 Ash House, Silverbanks, The Coast","Dublin 13","Dublin","215,859.00","No","Yes","New Dwelling house /Apartment"
"2420","28/02/2018","97 THE CRESCENT, PARK WEST POINTE, DUBLIN 12","Dublin 12","Dublin","171,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2422","28/02/2018","Apartment 59, Block A, Marianella","Dublin 6","Dublin","725,000.00","No","Yes","New Dwelling house /Apartment"
"2423","28/02/2018","APT 123, OLCOVAR","Dublin 18","Dublin","215,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2425","28/02/2018","APT 7   ST NESSANS, THORMANBY ROAD, HOWTH","Dublin 13","Dublin","400,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2429","28/02/2018","ST RONANS, DUNDRUM RD, DUNDRUM DUBLIN 14","Dublin 14","Dublin","568,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2430","28/02/2018","Unit 5 Parkside Avenue, Parkside, Malahide Road","Dublin 9","Dublin","346,000.00","No","Yes","New Dwelling house /Apartment"
"2431","01/03/2018","36 SANDYFORD HALL PARK, SANDYFORD, DUBLIN 18","Dublin 18","Dublin","532,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2432","01/03/2018","77 THE WATER RILL, WATERSIDE, SWORDS RD","Dublin 9","Dublin","235,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2433","01/03/2018","APT 26 HILLCOURT, 30 HIGHFIELD RD, RATHGAR DUBLIN 6","Dublin 6","Dublin","325,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2435","02/03/2018","4 WOODTOWN, STOCKING LANE, RATHFARNHAM","Dublin 16","Dublin","450,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2438","05/03/2018","10 COLLEGE HOUSE, TAYLORS HILL, RATHFARNHAM DUBLIN 16","Dublin 16","Dublin","323,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2440","05/03/2018","10 DAVID PARK, OFF WHITWORTH RD, DUBLIN 7","Dublin 9","Dublin","387,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2441","05/03/2018","12 WHITECHURCH CRESCENT, BALLYBODEN, DUBLIN 16","Dublin 16","Dublin","365,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2443","05/03/2018","128 NORTH STRAND RD, DUBLIN 3, DUBLIN","Dublin 15","Dublin","475,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2444","05/03/2018","13 ROOKWOOD VIEW, STOCKING LANE, RATHFARNHAM","Dublin 14","Dublin","322,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2447","05/03/2018","162 BRACKEN HILL, SANDYFORD, DUBLIN 18","Dublin 18","Dublin","254,800.00","No","No","Second-Hand Dwelling house /Apartment"
"2448","05/03/2018","19 ACHILL RD, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","675,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2450","05/03/2018","19 Grace Park Grove, Grace Park Wood, Grace Park Road","Dublin 9","Dublin","550,660.79","No","Yes","New Dwelling house /Apartment"
"2452","05/03/2018","210 KYLEMORE RD, DUBLIN 10, DUBLIN","Dublin 10","Dublin","220,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2453","05/03/2018","23 KILBARRON AVE, KILMORE WEST, COOLOCK DUBLIN 5","Dublin 5","Dublin","300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2456","05/03/2018","29 ST ALBANSROAD, SOUTH CIRCULAR RD, DUBLIN 8","Dublin 8","Dublin","470,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2457","05/03/2018","3 Hampton, Gracepark Road, Drumcondra","Dublin 9","Dublin","850,000.00","No","Yes","New Dwelling house /Apartment"
"2459","05/03/2018","38 DOOLIN HOUSE, CLARE VILLAGE, MALAHIDE RD DUBLIN 17","Dublin 17","Dublin","234,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2461","05/03/2018","428 GRIFFITH AVE, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","720,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2462","05/03/2018","43 Sycamore House, Silverbanks, The Coast Baldoyle","Dublin 13","Dublin","149,779.73","No","Yes","New Dwelling house /Apartment"
"2464","05/03/2018","8 TOLKA RD, BALLYBOUGH, DUBLIN 3","Dublin 3","Dublin","292,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2465","05/03/2018","84 ST PETER'S ROAD, GREENHILLS, DUBLIN 12","Dublin 12","Dublin","405,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2466","05/03/2018","90 BLOOMFIELD PARK, BLOOMFIELD AVE, DONNYBROOK DUBLIN 4","Dublin 4","Dublin","552,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2467","05/03/2018","96A ST IGNATIUS RD, DORSET ST, DUBLIN 1","Dublin 15","Dublin","220,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2472","05/03/2018","APT 308, MOTHER TERESA HOUSE, LORETO ABBEY DUBLIN 16","Dublin 14","Dublin","330,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2473","05/03/2018","FLAT 1, 46 SOUTH CIRCULAR ROAD, D8","Dublin 8","Dublin","1,180,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2477","06/03/2018","1 KILMAINHAM LANE, BOW BRIDGE, DUBLIN 8","Dublin 8","Dublin","386,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2479","06/03/2018","105 CHURCH AVE, SANTRY, DUBLIN 9","Dublin 9","Dublin","639,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2480","06/03/2018","106 BELGROVE PK MT PROPSECT LAWNS, MOUNT PROSPECT AVE CLONFART, DUBLIN CITY","Dublin 15","Dublin","310,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2482","06/03/2018","11 ST MOBHI DR, GLASNEVIN, DUBLIN 9","Dublin 9","Dublin","991,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2483","06/03/2018","114 TUDOR LAWNS, FOXROCK, DUBLIN 18","Dublin 18","Dublin","625,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2486","06/03/2018","12 WHATLEY HALL, ONGAR, DUBLIN 15","Dublin 15","Dublin","195,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2488","06/03/2018","13 EL PINAR, KILLGOBBIN RD, SANDYFORD DUBLIN 18","Dublin 18","Dublin","400,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2491","06/03/2018","135 THE ORCHARD, AYRFIELD, MALAHIDE RD DUBLIN 13","Dublin 13","Dublin","194,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2492","06/03/2018","138 CROMCASTLE RD, COOLOCK, DUBLIN 5","Dublin 5","Dublin","245,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"2493","06/03/2018","144 IVY COURT, BEAUMONT WOODS, BEAUMONT","Dublin 9","Dublin","275,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2494","06/03/2018","146 THE WATERSIDE APTS, RINGSEND RD, DUBLIN 4","Dublin 4","Dublin","276,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2498","06/03/2018","16 THE WALK, CARRICKMINES GREEN, CARRICKMINES DUBLIN 18","Dublin 18","Dublin","280,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2499","06/03/2018","174 NAVAN ROAD, DUBLIN 7","Dublin 7","Dublin","450,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2500","06/03/2018","2 Cedarhurst Green, Phoenix Park racecourse, Castleknock","Dublin 15","Dublin","374,449.00","No","Yes","New Dwelling house /Apartment"
"2502","06/03/2018","2 MILLTOWN AVE, MOUNT ST ANNES, MILLTOWN DUBLIN 6","Dublin 6","Dublin","585,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2504","06/03/2018","2 THE MOORINGS LUCAN RD CHAPELIZOD, DUBLIN 20, DUBLIN","Dublin 20","Dublin","327,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2506","06/03/2018","27 ANNALY TERRACE, ONGARWOOD, ONGAR DUBLIN 15","Dublin 15","Dublin","268,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2508","06/03/2018","296 WEDGEWOOD EST, DUNDRUM, DUBLIN 14","Dublin 14","Dublin","395,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2510","06/03/2018","3 CLOIGINN AVE, BALLYFERMOT, DUBLIN 10","Dublin 10","Dublin","243,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2511","06/03/2018","31 GARRISON MEWS, THE RAMPARTS, CABINTEELY DUBLIN 18","Dublin 18","Dublin","306,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2512","06/03/2018","336 SUTTON PARK, SUTTON, DUBLIN 13","Dublin 13","Dublin","570,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2513","06/03/2018","34 MARTIN SAVAGE PARK, ASHTOWN, DUBLIN","Dublin 15","Dublin","355,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2514","06/03/2018","35 WHITEHALL SQ, QUARRY DR, PERRYSTOWN DUBLIN 12","Dublin 12","Dublin","240,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2515","06/03/2018","39 Sycamore House, Silverbanks, The Coast","Dublin 13","Dublin","215,859.02","No","Yes","New Dwelling house /Apartment"
"2516","06/03/2018","4 SEVILLE TERRACE, NORTH STRAND RD, DUBLIN CITY","Dublin 1","Dublin","217,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2517","06/03/2018","40 Orwell Gate, Marianella","Dublin 6","Dublin","520,000.00","No","Yes","New Dwelling house /Apartment"
"2518","06/03/2018","455 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8","Dublin 8","Dublin","455,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2519","06/03/2018","5 HARMONY AVE, DONNYBROOK, DUBLIN 4","Dublin 4","Dublin","695,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2520","06/03/2018","51 CHURCHWELL RD, BELMAYNE, BALGRIFFIN DUBLIN 13","Dublin 13","Dublin","218,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2521","06/03/2018","53 LISSADEL DR, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","255,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2522","06/03/2018","54 PORTOBELLO HARBOUR, GROVE RD, DUBLIN 6","Dublin 6","Dublin","420,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2524","06/03/2018","6 BISHOPS ORCHARD, TYRRELSTOWN, DUBLIN 15","Dublin 15","Dublin","269,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2525","06/03/2018","6 CEDARWOOD RISE, GLASNEVIN, DUBLIN 11","Dublin 11","Dublin","315,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"2526","06/03/2018","63 GANDON HALL, GARDINER ST LOWER, DUBLIN 1","Dublin 1","Dublin","199,950.00","No","No","Second-Hand Dwelling house /Apartment"
"2527","06/03/2018","8 BRIGHTON GARDENS, RATHGAR, DUBLIN 6","Dublin 6","Dublin","539,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2528","06/03/2018","9 FINN ST, STONEYBATTER, DUBLIN 7","Dublin 7","Dublin","370,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2530","06/03/2018","99 THE TRAMYARD, SPA RD, INCHICORE DUBLIN 8","Dublin 8","Dublin","128,750.00","No","No","Second-Hand Dwelling house /Apartment"
"2531","06/03/2018","9A SIMMONSCOURT, SIMMONSCOURT RD, DUBLIN 4","Dublin 4","Dublin","390,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2534","07/03/2018","1 Dawson Place, Stoneybatter, Dublin 7","Dublin 7","Dublin","452,155.28","No","Yes","New Dwelling house /Apartment"
"2536","07/03/2018","10 LE HUNT HOUSE, BRENNANSTOWN, CABINTEELY DUBLIN 18","Dublin 18","Dublin","300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2537","07/03/2018","110 NEW IRELAND RD, RIALTO, DUBLIN 8","Dublin 8","Dublin","375,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2538","07/03/2018","123B MALAHIDE ROAD, DONNYCARNEY, DUBLIN 3","Dublin 3","Dublin","396,475.77","No","Yes","New Dwelling house /Apartment"
"2539","07/03/2018","14 BRIAN TERRACE, MARINO, DUBLIN 3","Dublin 3","Dublin","425,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2540","07/03/2018","14 CHERRY GROVE, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","465,001.00","No","No","Second-Hand Dwelling house /Apartment"
"2543","07/03/2018","15 MACKEN ST, DUBLIN 2, DUBLIN","Dublin 2","Dublin","620,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2544","07/03/2018","18 ALPINE RISE, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","310,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2546","07/03/2018","188A Collins Avenue, Beaumont, Dublin 9","Dublin 9","Dublin","555,066.00","No","Yes","New Dwelling house /Apartment"
"2547","07/03/2018","19 Cuil Duin Walk, Cuil Duin, Citywest","Dublin 24","Dublin","281,938.00","No","Yes","New Dwelling house /Apartment"
"2549","07/03/2018","19 TREEPARK DR, KILNAMANAGH, TALLAGHT DUBLIN 24","Dublin 24","Dublin","275,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2550","07/03/2018","22 DANES COURT, CLONTARF, DUBLIN 3","Dublin 3","Dublin","235,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2551","07/03/2018","23 Diswellstown Grove, Castleknock","Dublin 15","Dublin","422,907.48","No","Yes","New Dwelling house /Apartment"
"2553","07/03/2018","24 RAMLEH HALL, MOUNT ST ANNES, CONVENT AVE DUBLIN 6","Dublin 6","Dublin","375,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2555","07/03/2018","29 BEECHFIELD MEADOWS, CASTAHEANEY, DUBLIN 15","Dublin 15","Dublin","338,500.00","No","No","Second-Hand Dwelling house /Apartment"
"2556","07/03/2018","29 MELLOWS RD, FINGLAS WEST, DUBLIN 11","Dublin 11","Dublin","225,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2558","07/03/2018","30 WELLVIEW GROVE, MULHUDDART, DUBLIN 15","Dublin 15","Dublin","153,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2559","07/03/2018","31 PALMERSTOWN SQ, PALMERSTOWN PARK, PALMERSTOWN DUBLIN 20","Dublin 20","Dublin","190,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2560","07/03/2018","34 Orwell Gate, Marianella, Rathgar","Dublin 6","Dublin","537,444.92","No","Yes","New Dwelling house /Apartment"
"2562","07/03/2018","37 CASTLEKNOCK GLADE, LAUREL LODGE, DUBLIN 15","Dublin 15","Dublin","425,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2563","07/03/2018","39 BELMONT AVE, DONNYBROOK, DUBLIN 4","Dublin 4","Dublin","1,025,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2564","07/03/2018","39 CHARLESTOWN PARK, ST MARGARETS ROAD, FINGLAS","Dublin 11","Dublin","356,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2568","07/03/2018","4 STANAWAY AVE, DUBLIN 12, DUBLIN","Dublin 12","Dublin","340,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2569","07/03/2018","43 GLENCAIRN LAWN, THE GALLOPS, LEOPARDSTOWN DUBLIN 18","Dublin 18","Dublin","600,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2570","07/03/2018","46 WICKLOW COURT, SOUTH GREAT GEORGES ST, DUBLIN 2","Dublin 2","Dublin","142,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2575","07/03/2018","54 OLDTOWN AVE, SANTRY, DUBLIN 9","Dublin 9","Dublin","290,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2576","07/03/2018","64 BLACKHALL SQ, NORTH KING ST, DUBLIN 7","Dublin 7","Dublin","230,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2579","07/03/2018","8 DISWELLSTOWN VIEW, CASTLEKNOCK","Dublin 15","Dublin","475,770.92","No","Yes","New Dwelling house /Apartment"
"2580","07/03/2018","8 ORCHARD TERRACE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2581","07/03/2018","81 THE OVAL, TULLYVALE, DRUID VALLEY DUBLIN 18","Dublin 18","Dublin","275,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2583","07/03/2018","84B SMITHFIELD MARKET, SMITHFIELD, DUBLIN 7","Dublin 7","Dublin","438,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2584","07/03/2018","9 ADELAIDE, STRAND RD, SANDYMOUNT DUBLIN 4","Dublin 4","Dublin","515,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2585","07/03/2018","9 LINNETSFIELD VIEW, CLONEE, DUBLIN 15","Dublin 15","Dublin","275,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2586","07/03/2018","9 WHITWORTH AVE, DUBLIN 3, DUBLIN","Dublin 3","Dublin","385,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2587","07/03/2018","97 WILLOW PARK GROVE, GLASNEVIN, DUBLIN 11","Dublin 11","Dublin","310,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2588","07/03/2018","Apartemtn 359, Trimbleston, Goatstown","Dublin 14","Dublin","572,687.00","No","Yes","New Dwelling house /Apartment"
"2590","07/03/2018","APT 47 TEMPLE HALL, MOUNT ST ANNES, MILLTOWN","Dublin 6","Dublin","283,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2591","07/03/2018","APT 73 ADELAIDE SQ, WHITEFRIAR ST, DUBLIN 7","Dublin 8","Dublin","280,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2592","07/03/2018","CPT 11 COMPASS CT, SOUTH ROYAL CANAL PK, ASHTOWN DUBLIN 15","Dublin 15","Dublin","245,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"2600","08/03/2018","10 RIVERSTOWN HOUSE, SPENCER DOCK, WALL QUAY NORTH DUBLIN 1","Dublin 1","Dublin","370,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2602","08/03/2018","11 ALLENDALE GROVE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","305,550.00","No","No","Second-Hand Dwelling house /Apartment"
"2603","08/03/2018","11 Diswellstown Grove, Castleknock","Dublin 15","Dublin","414,096.00","No","Yes","New Dwelling house /Apartment"
"2604","08/03/2018","11 DRAPIER GREEN, DUBLIN 11, DUBLIN","Dublin 11","Dublin","260,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"2605","08/03/2018","113A ARDARA AVE, DONAGHMEDE, DUBLIN 13","Dublin 13","Dublin","337,757.40","No","No","Second-Hand Dwelling house /Apartment"
"2607","08/03/2018","12 Castle Vernon, clontarf","Dublin 3","Dublin","837,005.00","No","Yes","New Dwelling house /Apartment"
"2608","08/03/2018","12 KELSTON AVE, FOXROCK, DUBLIN 18","Dublin 18","Dublin","525,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2609","08/03/2018","12 LIMEKILN DR, MANOR ESTATE, TERENURE DUBLIN 12","Dublin 12","Dublin","435,000.00","No","No","Second-Hand Dwelling house /Apartment"
